car_model,car_type,car_year,car_mileage,car_location,car_price,car_link,car_transmission
XPANDER ULTIMATE 1.5,Mitsubishi,2018,93.142 km,Tangerang Selatan,200.000.000,https://carsome.id/beli-mobil-bekas/mitsubishi/xpander/2018-mitsubishi-xpander-ultimate-1.5/c6d7000,Automatic
GLA 200 AMG 1.6,Mercedes-Benz,2018,33.827 km,Jakarta Utara,469.000.000,https://carsome.id/beli-mobil-bekas/mercedes-benz/gla/2018-mercedes-benz-gla-200-amg-1.6/c3k4000,Automatic
AYLA R 1.2,Daihatsu,2020,54.801 km,Bekasi,133.000.000,https://carsome.id/beli-mobil-bekas/daihatsu/ayla/2020-daihatsu-ayla-r-1.2/cg07000,Automatic
HR-V SE 1.5,Honda,2019,95.389 km,Jakarta Utara,240.000.000,https://carsome.id/beli-mobil-bekas/honda/hr-v/2019-honda-hr-v-se-1.5/c957000,Automatic
XENIA R DLX 1.3,Daihatsu,2013,140.903 km,Tangerang Selatan,96.000.000,https://carsome.id/beli-mobil-bekas/daihatsu/xenia/2013-daihatsu-xenia-r-dlx-1.3/c477000,Automatic
HR-V E PLUS 1.5,Honda,2018,71.135 km,Jakarta Utara,236.000.000,https://carsome.id/beli-mobil-bekas/honda/hr-v/2018-honda-hr-v-e-plus-1.5/c187000,Automatic
CITY RS HATCHBACK 1.5,Honda,2021,46.694 km,Jakarta Utara,252.000.000,https://carsome.id/beli-mobil-bekas/honda/city/2021-honda-city-rs-hatchback-1.5/c7b7000,Automatic
CITY RS HATCHBACK 1.5,Honda,2021,22.670 km,Tangerang Selatan,248.000.000,https://carsome.id/beli-mobil-bekas/honda/city/2021-honda-city-rs-hatchback-1.5/cyb7000,Automatic
HR-V E PLUS 1.5,Honda,2018,94.946 km,Bekasi,237.000.000,https://carsome.id/beli-mobil-bekas/honda/hr-v/2018-honda-hr-v-e-plus-1.5/cwb7000,Automatic
KIJANG INNOVA V 2.0,Toyota,2016,104.055 km,Tangerang Selatan,244.000.000,https://carsome.id/beli-mobil-bekas/toyota/kijang-innova/2016-toyota-kijang-innova-v-2.0/che7000,Automatic
XPANDER ULTIMATE 1.5,Mitsubishi,2018,63.203 km,Jakarta Utara,201.000.000,https://carsome.id/beli-mobil-bekas/mitsubishi/xpander/2018-mitsubishi-xpander-ultimate-1.5/cge7000,Automatic
KIJANG INNOVA REBORN VENTURER GASOLINE 2.0,Toyota,2017,79.013 km,Tangerang Selatan,305.000.000,https://carsome.id/beli-mobil-bekas/toyota/kijang-innova/2017-toyota-kijang-innova-reborn-venturer-gasoline-2.0/c1g7000,Automatic
XPANDER EXCEED 1.5,Mitsubishi,2018,81.128 km,Jakarta Utara,183.000.000,https://carsome.id/beli-mobil-bekas/mitsubishi/xpander/2018-mitsubishi-xpander-exceed-1.5/crg7000,Manual
CX-5 ELITE 2.5,Mazda,2017,44.889 km,Jakarta Utara,355.000.000,https://carsome.id/beli-mobil-bekas/mazda/cx-5/2017-mazda-cx-5-elite-2.5/c7g7000,Automatic
XPANDER ULTIMATE 1.5,Mitsubishi,2018,98.215 km,Tangerang Selatan,200.000.000,https://carsome.id/beli-mobil-bekas/mitsubishi/xpander/2018-mitsubishi-xpander-ultimate-1.5/ckg7000,Automatic
CX-3 TOURING 2.0,Mazda,2018,73.975 km,Jakarta Utara,261.000.000,https://carsome.id/beli-mobil-bekas/mazda/cx-3/2018-mazda-cx-3-touring-2.0/c3h7000,Automatic
CITY RS HATCHBACK 1.5,Honda,2021,30.492 km,Bekasi,259.000.000,https://carsome.id/beli-mobil-bekas/honda/city/2021-honda-city-rs-hatchback-1.5/c7h7000,Automatic
RUSH S TRD SPORTIVO 1.5,Toyota,2018,81.269 km,Jakarta Utara,198.000.000,https://carsome.id/beli-mobil-bekas/toyota/rush/2018-toyota-rush-s-trd-sportivo-1.5/cdj7000,Automatic
YARIS S TRD 1.5,Toyota,2018,32.892 km,Tangerang Selatan,206.000.000,https://carsome.id/beli-mobil-bekas/toyota/yaris/2018-toyota-yaris-s-trd-1.5/c1j7000,Automatic
PAJERO SPORT DAKAR 4X2 2.4,Mitsubishi,2018,60.880 km,Tangerang Selatan,420.000.000,https://carsome.id/beli-mobil-bekas/mitsubishi/pajero-sport/2018-mitsubishi-pajero-sport-dakar-4x2-2.4/c0l7000,Automatic
XPANDER ULTIMATE 1.5,Mitsubishi,2018,85.438 km,Bekasi,202.000.000,https://carsome.id/beli-mobil-bekas/mitsubishi/xpander/2018-mitsubishi-xpander-ultimate-1.5/c9k7000,Automatic
XPANDER ULTIMATE 1.5,Mitsubishi,2018,75.158 km,Jakarta Utara,208.000.000,https://carsome.id/beli-mobil-bekas/mitsubishi/xpander/2018-mitsubishi-xpander-ultimate-1.5/cuk7000,Automatic
XPANDER ULTIMATE 1.5,Mitsubishi,2018,61.169 km,Tangerang Selatan,204.000.000,https://carsome.id/beli-mobil-bekas/mitsubishi/xpander/2018-mitsubishi-xpander-ultimate-1.5/cfm7000,Automatic
KIJANG INNOVA V 2.0,Toyota,2016,104.475 km,Bekasi,242.000.000,https://carsome.id/beli-mobil-bekas/toyota/kijang-innova/2016-toyota-kijang-innova-v-2.0/c4m7000,Manual
KIJANG INNOVA REBORN G 2.0,Toyota,2019,86.478 km,Bekasi,273.000.000,https://carsome.id/beli-mobil-bekas/toyota/kijang-innova/2019-toyota-kijang-innova-reborn-g-2.0/c1n7000,Automatic
